seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13565,2025,ESP.W.1,21140,41988,6,0,0,0,0,0,0,0,0,0,0,0,0,25,11,2025-11-11 06:02:15
13565,2025,ESP.W.1,21428,127084,10,1,5,2,1,0,0,0,0,2,2,1,0,0,8,2025-11-11 06:02:16
13565,2025,ESP.W.1,21149,209921,21,10,6,3,1,0,0,0,0,1,1,0,0,0,20,2025-10-07 05:16:03
13565,2025,ESP.W.1,21428,219120,3,2,2,0,0,0,0,0,0,1,3,1,0,0,2,2025-11-11 06:02:16
13565,2025,ESP.W.1,21425,219830,9,2,7,2,2,0,0,0,0,4,8,3,0,0,7,2025-11-11 06:02:16
13565,2025,ESP.W.1,21149,219894,24,21,18,9,5,0,0,1,0,5,20,3,0,0,13,2025-10-07 05:16:03
13565,2025,ESP.W.1,21128,219938,9,3,5,9,0,0,0,0,0,10,18,3,0,0,2,2025-11-11 06:02:16
13565,2025,ESP.W.1,20091,219989,6,3,2,0,0,0,0,0,0,4,6,0,0,0,0,2025-11-11 06:02:13
13565,2025,ESP.W.1,20091,219995,9,2,5,4,0,0,0,3,0,10,23,3,0,0,1,2025-11-11 06:02:13
13565,2025,ESP.W.1,20091,219998,10,3,4,5,1,0,0,0,0,1,6,0,0,0,2,2025-11-11 06:02:13
13565,2025,ESP.W.1,20093,220002,10,0,0,1,0,0,0,0,0,0,0,0,0,27,10,2025-11-11 06:02:12
13565,2025,ESP.W.1,21149,220005,17,4,20,6,5,0,1,0,0,6,11,1,0,0,17,2025-10-07 05:16:03
13565,2025,ESP.W.1,21175,225794,9,0,9,4,1,0,0,0,0,0,8,0,0,0,17,2025-11-11 06:02:14
13565,2025,ESP.W.1,21428,226725,6,2,5,4,0,0,0,2,0,4,13,0,0,0,3,2025-11-11 06:02:16
13565,2025,ESP.W.1,21149,245184,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-10-07 05:16:03
13565,2025,ESP.W.1,21128,248832,8,3,2,2,0,0,0,1,0,0,3,0,0,0,4,2025-11-11 06:02:16
13565,2025,ESP.W.1,21145,249104,10,4,4,1,0,0,0,2,0,3,3,1,0,0,16,2025-11-11 06:02:13
13565,2025,ESP.W.1,20093,252358,9,2,1,4,0,0,0,2,0,7,18,4,0,0,3,2025-11-11 06:02:12
13565,2025,ESP.W.1,20093,252363,8,4,3,4,0,0,0,1,0,3,9,1,0,0,6,2025-11-11 06:02:12
13565,2025,ESP.W.1,20091,253699,7,1,2,3,0,0,0,2,0,8,29,4,0,0,1,2025-11-11 06:02:13
13565,2025,ESP.W.1,21140,255172,4,0,0,1,0,0,0,0,0,0,0,0,0,9,5,2025-11-11 06:02:15
13565,2025,ESP.W.1,20091,255815,9,3,5,1,1,0,0,3,0,3,12,1,0,0,1,2025-11-11 06:02:13
13565,2025,ESP.W.1,21128,257531,9,2,5,6,0,0,0,1,0,8,14,4,0,0,4,2025-11-11 06:02:16
13565,2025,ESP.W.1,21128,258818,3,1,2,2,0,0,0,0,0,1,2,0,0,0,0,2025-11-11 06:02:16
13565,2025,ESP.W.1,21149,258829,6,2,3,0,1,0,0,0,0,0,1,0,0,0,2,2025-11-11 06:02:15
13565,2025,ESP.W.1,21426,259774,10,2,6,3,1,0,0,0,0,0,3,0,0,0,16,2025-11-11 06:02:16
13565,2025,ESP.W.1,21128,264719,4,1,5,2,0,1,0,0,0,3,7,1,0,0,2,2025-11-11 06:02:16
13565,2025,ESP.W.1,20091,264734,6,1,4,4,0,0,0,3,0,5,16,2,0,0,1,2025-11-11 06:02:13
13565,2025,ESP.W.1,21137,264854,3,2,3,0,2,0,0,0,0,0,0,0,0,0,5,2025-11-11 06:02:12
13565,2025,ESP.W.1,21424,265534,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2025-11-11 06:02:17
13565,2025,ESP.W.1,21149,266890,24,9,21,11,5,0,0,0,0,2,7,0,0,0,20,2025-10-07 05:16:03
